"Sample_ID","Cells_Before_QC","Cells_After_QC"
"GSM8561110",6181,NA
"GSM8561111",2829,NA
"GSM8561112",2485,NA
"GSM8561113",6358,NA
"GSM8561114",16270,NA
"GSM8561115",3479,NA
"GSM8561116",4212,NA
"GSM8561117",5172,NA
"GSM8561118",6120,NA
"GSM8561119",1986,NA
"GSM8561120",606,NA
"GSM8561121",2819,NA
"GSM8561122",5094,NA
"GSM8561123",2696,NA
"GSM8561124",7699,NA
"GSM8561125",688,NA
"GSM8561126",2696,NA
"GSM8561127",688,NA
"GSM8561128",3589,NA
"GSM8561129",1228,NA
"GSM8561130",3440,NA
"GSM8561131",4050,NA
"GSM8561132",42204,NA
"GSM8561133",5244,NA
"GSM8561134",3211,NA
"GSM8561135",3455,NA
"GSM8561136",4596,NA
"GSM8561137",1222,NA
"GSM8561138",2723,NA
"GSM8561139",2442,NA
"GSM8561140",2765,NA
"GSM8561141",1375,NA
"GSM8561142",1437,NA
"GSM8561143",3134,NA
"GSM8561144",1024,NA
"GSM8561145",1780,NA
"GSM8561146",4544,NA
"GSM8561147",1860,NA
"GSM8561148",4458,NA
"GSM8561149",3983,NA
